app,version,id
openjdk,8-jre-alpine3.7,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNjI0NGY1MjJjZmJiZDY3OTg
sot-openjdk-ldaps,latest,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNmViNGVhM2E4OTg0ZDZmOTI
openjdk,11.0-jre-alpine,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNjRjZDc0YWY5NzZiZDU0ZGE
nginx,latest,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNmYyNTQ2YjllMzIyZTQzYWE
keycloak-ldaps,latest,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNjJjYzc2ZWUwMWU2MmMwZjQ
sot/analytic-cron-prod,latest,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNjJlYzJkYjQyZmMzZmQwZDM
sot-prod/redisflush-ms,v1,U09ULURvY2tlci1OZXc6OTNiOWI5ZWI5YTdlY2IwNjIyMDQwMTM4ZDY4NTdkNGE
sot-openjdk-ldaps,master-2,U09ULURvY2tlci1OZXc6OWE2MWU4ZTNiN2Y3MmNiZDE5MjFmNmE4NzVlZTNiNjY
sot-openjdk-ldaps,master-4,U09ULURvY2tlci1OZXc6OWE2MWU4ZTNiN2Y3MmNiZDJhNzhhMjZiYjY0MmQ3NmE
sot-openjdk-ldaps,master-6,U09ULURvY2tlci1OZXc6OWE2MWU4ZTNiN2Y3MmNiZGI0NmRiYmY3YTI2OGFlNmQ
sot-openjdk-ldaps,test-4,U09ULURvY2tlci1OZXc6OWE2MWU4ZTNiN2Y3MmNiZDE1OWM0M2E4OTAyYjllN2U
sot-openjdk-ldaps,test-6,U09ULURvY2tlci1OZXc6OWE2MWU4ZTNiN2Y3MmNiZGJiMGVjMDg3MjEyMzRmODg
openjdk,8-jre-alpine,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNTYyMzU0Y2YyYjMwMjUzZjE
openjdk,8-jre-alpine-test-ldaps,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNTFmMWM5NDQ3NjkyYWE2ZmQ
sot-prod/java-product-selector-ms,v.1.10.0,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNTA2Njg0M2U0NzY0YTE4NTY
sot-prod/sync-ms,v1.18.11,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNTc3YWZmYmFiZWM5NjJjMjI
sot/redis-cli-prod,latest,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNTVhYTg3Mzc4OWMzYThhOGY
sot/oracle-cron-prod,latest,U09ULURvY2tlci1OZXc6NzFhZmVhNTQwZTIzZGRlNWViMjIxODRjZWY1YWEzMTI
sot-openjdk-ldaps,master-3,U09ULURvY2tlci1OZXc6ZTFjZTRiZTRiMDA3ZWVlYjI3N2RhYmRiMTdjMWI5NDM
sot-openjdk-ldaps,master-5,U09ULURvY2tlci1OZXc6ZTFjZTRiZTRiMDA3ZWVlYmNkYTcxYWFlMDA3ODIxYzQ
sot-openjdk-ldaps,test-3,U09ULURvY2tlci1OZXc6ZTFjZTRiZTRiMDA3ZWVlYjdkODQwMWI1MTM5NDBjMjc
sot-openjdk-ldaps,test-5,U09ULURvY2tlci1OZXc6ZTFjZTRiZTRiMDA3ZWVlYjFkZjJjODYwNWQxZWMzODg
sot-openjdk-ldaps,test-7,U09ULURvY2tlci1OZXc6ZTFjZTRiZTRiMDA3ZWVlYjYxMWUyMjkxOWRhYjk2NmY
